"region","number_of_medals"
"Albania",0
"American Samoa",0
"Andorra",0
"Angola",0
"Antigua",0
"Aruba",0
"Bangladesh",0
"Belize",0
"Benin",0
"Bhutan",0
"Boliva",0
"Bosnia and Herzegovina",0
"Brunei",0
"Burkina Faso",0
"Cambodia",0
"Cape Verde",0
"Cayman Islands",0
"Central African Republic",0
"Chad",0
"Comoros",0
"Cook Islands",0
"Democratic Republic of the Congo",0
"Dominica",0
"El Salvador",0
"Equatorial Guinea",0
"Gambia",0
"Guam",0
"Guinea",0
"Guinea-Bissau",0
"Honduras",0
"Kiribati",0
"Laos",0
"Lesotho",0
"Liberia",0
"Libya",0
"Madagascar",0
"Malawi",0
"Maldives",0
"Mali",0
"Malta",0
"Marshall Islands",0
"Mauritania",0
"Micronesia",0
"Myanmar",0
"Nauru",0
"Nicaragua",0
"Oman",0
"Palau",0
"Palestine",0
"Papua New Guinea",0
"Refugee Olympic Team",0
"Republic of Congo",0
"Rwanda",0
"Saint Kitts",0
"Saint Lucia",0
"Saint Vincent",0
"Samoa",0
"San Marino",0
"Sao Tome and Principe",0
"Seychelles",0
"Sierra Leone",0
"Solomon Islands",0
"Somalia",0
"South Sudan",0
"Swaziland",0
"Timor-Leste",0
"Turkmenistan",0
"Tuvalu",0
"Unknown",0
"Vanuatu",0
"Virgin Islands, British",0
"Yemen",0
