"region","Gold_F","Gold_M","Silver_F","Silver_M","Bronze_F","Bronze_M","DNW_F","DNW_M"
"Armenia",0,2,0,5,1,8,37,168
"Burundi",0,1,1,0,0,0,13,24
"Chile",0,3,1,8,0,20,117,776
"Dominican Republic",0,3,0,2,0,2,72,198
"Ecuador",0,1,0,1,0,0,64,211
"Egypt",0,7,0,8,2,10,179,1416
"Fiji",0,13,0,0,0,0,67,152
"Georgia",0,8,0,6,1,17,71,183
"Grenada",0,1,0,1,0,0,17,35
"Haiti",0,1,0,1,0,5,19,80
"India",0,138,1,18,4,36,236,975
"Individual Olympic Athletes",0,1,1,0,1,2,27,62
"Iran",0,18,0,21,1,28,48,673
"Israel",0,1,1,0,1,6,205,451
"Ivory Coast",0,1,0,1,1,0,57,133
"Jordan",0,1,0,0,0,0,23,56
"Latvia",0,3,1,18,1,12,195,721
"Luxembourg",0,4,0,4,0,0,73,915
"Mongolia",0,2,2,8,2,12,145,379
"Nepal",0,1,0,0,0,0,24,69
"Pakistan",0,42,0,45,0,34,11,430
"Panama",0,1,0,0,0,2,39,97
"Peru",0,1,12,2,0,0,150,367
"Singapore",0,1,3,1,4,0,122,218
"Suriname",0,1,0,0,0,1,22,45
"Tajikistan",0,1,0,1,1,1,15,51
"Trinidad",0,7,0,8,0,22,80,278
"Tunisia",0,3,1,2,2,5,92,456
"Uganda",0,2,0,3,0,2,42,211
"United Arab Emirates",0,1,0,0,0,1,7,135
"Uruguay",0,31,0,2,0,30,62,451
"Venezuela",0,2,1,2,3,7,217,693
"Vietnam",0,1,1,2,0,0,75,137
