"","Year","Season","Number_of_countries"
"1",1896,"Summer",12
"2",1900,"Summer",31
"3",1904,"Summer",14
"4",1906,"Summer",20
"5",1908,"Summer",22
"6",1912,"Summer",29
"7",1920,"Summer",29
"8",1924,"Summer",45
"9",1924,"Winter",19
"10",1928,"Summer",46
"11",1928,"Winter",25
"12",1932,"Summer",47
"13",1932,"Winter",17
"14",1936,"Summer",49
"15",1936,"Winter",28
"16",1948,"Summer",59
"17",1948,"Winter",28
"18",1952,"Summer",67
"19",1952,"Winter",30
"20",1956,"Summer",71
"21",1956,"Winter",32
"22",1960,"Summer",83
"23",1960,"Winter",30
"24",1964,"Summer",93
"25",1964,"Winter",36
"26",1968,"Summer",111
"27",1968,"Winter",36
"28",1972,"Summer",120
"29",1972,"Winter",34
"30",1976,"Summer",91
"31",1976,"Winter",36
"32",1980,"Summer",80
"33",1980,"Winter",36
"34",1984,"Summer",139
"35",1984,"Winter",48
"36",1988,"Summer",156
"37",1988,"Winter",56
"38",1992,"Summer",168
"39",1992,"Winter",64
"40",1994,"Winter",67
"41",1996,"Summer",196
"42",1998,"Winter",72
"43",2000,"Summer",199
"44",2002,"Winter",76
"45",2004,"Summer",200
"46",2006,"Winter",78
"47",2008,"Summer",203
"48",2010,"Winter",81
"49",2012,"Summer",204
"50",2014,"Winter",88
"51",2016,"Summer",206
