"Year","Sex","number_of_athletes"
1896,"M",176
1900,"F",23
1900,"M",1201
1904,"F",6
1904,"M",644
1906,"F",6
1906,"M",835
1908,"F",44
1908,"M",1980
1912,"F",53
1912,"M",2356
1920,"F",78
1920,"M",2598
1924,"F",156
1924,"M",3100
1928,"F",312
1928,"M",2935
1932,"F",201
1932,"M",1721
1936,"F",361
1936,"M",4123
1948,"F",446
1948,"M",3956
1952,"F",521
1952,"M",4411
1956,"F",384
1956,"M",2963
1960,"F",613
1960,"M",4739
1964,"F",680
1964,"M",4457
1968,"F",783
1968,"M",4775
1972,"F",1060
1972,"M",6054
1976,"F",1260
1976,"M",4813
1980,"F",1123
1980,"M",4136
1984,"F",1569
1984,"M",5229
1988,"F",2203
1988,"M",6251
1992,"F",2723
1992,"M",6663
1996,"F",3517
1996,"M",6822
2000,"F",4068
2000,"M",6579
2004,"F",4300
2004,"M",6257
2008,"F",4609
2008,"M",6290
2012,"F",4654
2012,"M",5863
2016,"F",5034
2016,"M",6145
