"Year","Sex","number_of_athletes"
1924,"F",13
1924,"M",300
1928,"F",28
1928,"M",433
1932,"F",21
1932,"M",231
1936,"F",80
1936,"M",588
1948,"F",77
1948,"M",591
1952,"F",109
1952,"M",585
1956,"F",132
1956,"M",689
1960,"F",144
1960,"M",521
1964,"F",200
1964,"M",894
1968,"F",211
1968,"M",949
1972,"F",206
1972,"M",802
1976,"F",231
1976,"M",897
1980,"F",235
1980,"M",836
1984,"F",277
1984,"M",996
1988,"F",315
1988,"M",1110
1992,"F",488
1992,"M",1313
1994,"F",522
1994,"M",1216
1998,"F",789
1998,"M",1390
2002,"F",886
2002,"M",1513
2006,"F",955
2006,"M",1539
2010,"F",1033
2010,"M",1503
2014,"F",1102
2014,"M",1643
